date,browser,visits
2016-06-09,Android Browser,284
2016-06-09,Amazon Silk,257
2016-06-09,Safari (in-app),256
2016-06-09,Opera,50
2016-06-09,Opera Mini,50
2016-06-09,BlackBerry,25
2016-06-09,IE with Chrome Frame,16
2016-06-09,UC Browser,16
2016-06-09,Mozilla Compatible Agent,7
2016-06-09,Maxthon,5
2016-06-09,Coc Coc,3
2016-06-09,Nokia Browser,2
2016-06-09,SeaMonkey,1
2016-06-09,YaBrowser,1
2016-06-09,Mozilla,0
2016-06-10,Safari,12297
2016-06-10,Chrome,7040
2016-06-10,Internet Explorer,5110
2016-06-10,Firefox,973
2016-06-10,Edge,566
2016-06-10,Safari (in-app),260
2016-06-10,Android Browser,250
2016-06-10,Amazon Silk,241
2016-06-10,Opera,49
2016-06-10,Opera Mini,36
2016-06-10,BlackBerry,30
2016-06-10,UC Browser,21
2016-06-10,IE with Chrome Frame,20
2016-06-10,DDG-Android-3.0.12,1
2016-06-10,Iron,1
2016-06-10,Maxthon,1
2016-06-10,Mozilla,1
2016-06-10,SeaMonkey,1
2016-06-10,YaBrowser,1
2016-06-11,Safari,11704
2016-06-11,Chrome,4937
2016-06-11,Internet Explorer,1259
2016-06-11,Firefox,660
2016-06-11,Edge,402
2016-06-11,Amazon Silk,261
2016-06-11,Android Browser,210
2016-06-11,Safari (in-app),162
2016-06-11,Opera Mini,45
2016-06-11,Opera,31
2016-06-11,BlackBerry,27
2016-06-11,UC Browser,14
2016-06-11,Mozilla Compatible Agent,2
2016-06-11,SeaMonkey,2
2016-06-11,Coc Coc,1
2016-06-11,IE with Chrome Frame,1
2016-06-11,Maxthon,1
2016-06-11,Playstation 3,1
2016-06-11,YE,1
2016-06-11,YaBrowser,1
2016-06-12,Safari,13616
2016-06-12,Chrome,5288
2016-06-12,Internet Explorer,1239
2016-06-12,Firefox,784
2016-06-12,Edge,556
2016-06-12,Amazon Silk,298
2016-06-12,Android Browser,229
2016-06-12,Safari (in-app),125
2016-06-12,Opera,45
2016-06-12,Opera Mini,43
2016-06-12,BlackBerry,28
2016-06-12,UC Browser,13
2016-06-12,Coc Coc,4
2016-06-12,SeaMonkey,3
2016-06-12,IE with Chrome Frame,1
2016-06-12,Mozilla,0
2016-06-13,Safari,12368
2016-06-13,Chrome,7055
2016-06-13,Internet Explorer,5330
2016-06-13,Firefox,1025
2016-06-13,Edge,630
2016-06-13,Android Browser,261
2016-06-13,Amazon Silk,235
2016-06-13,Safari (in-app),97
2016-06-13,Opera Mini,47
2016-06-13,Opera,46
2016-06-13,BlackBerry,19
2016-06-13,IE with Chrome Frame,16
2016-06-13,UC Browser,13
2016-06-13,(not set),3
2016-06-13,SeaMonkey,3
2016-06-13,Coc Coc,2
2016-06-13,YaBrowser,2
2016-06-13,Mozilla,1
2016-06-13,Mozilla Compatible Agent,1
2016-06-13,YE,1
2016-06-14,Safari,11994
2016-06-14,Chrome,7085
2016-06-14,Internet Explorer,5622
2016-06-14,Firefox,996
2016-06-14,Edge,622
2016-06-14,Android Browser,253
2016-06-14,Amazon Silk,233
2016-06-14,Safari (in-app),154
2016-06-14,Opera Mini,55
2016-06-14,Opera,44
2016-06-14,BlackBerry,31
2016-06-14,Mozilla Compatible Agent,23
2016-06-14,IE with Chrome Frame,19
2016-06-14,UC Browser,17
2016-06-14,SeaMonkey,3
2016-06-14,Coc Coc,1
2016-06-14,Nintendo 3DS Browser,1
2016-06-14,YaBrowser,1
2016-06-14,Mozilla,0
2016-06-15,Safari,11081
2016-06-15,Chrome,6587
2016-06-15,Internet Explorer,5020
2016-06-15,Firefox,873
2016-06-15,Edge,552
2016-06-15,Safari (in-app),265
2016-06-15,Android Browser,241
2016-06-15,Amazon Silk,225
2016-06-15,Opera,52
2016-06-15,Opera Mini,47
2016-06-15,BlackBerry,30
2016-06-15,UC Browser,26
2016-06-15,IE with Chrome Frame,24
2016-06-15,Maxthon,5
2016-06-15,YaBrowser,3
2016-06-15,Mozilla Compatible Agent,2
2016-06-15,SeaMonkey,2
2016-06-15,YE,1
2016-06-16,Safari,11246
2016-06-16,Chrome,6454
2016-06-16,Internet Explorer,4638
2016-06-16,Firefox,860
2016-06-16,Edge,537
2016-06-16,Android Browser,243
2016-06-16,Safari (in-app),219
2016-06-16,Amazon Silk,188
2016-06-16,Opera Mini,45
2016-06-16,Opera,39
2016-06-16,UC Browser,22
2016-06-16,BlackBerry,20
2016-06-16,IE with Chrome Frame,15
2016-06-16,SeaMonkey,3
2016-06-16,YaBrowser,2
2016-06-16,Iron,1
2016-06-16,Maxthon,1
2016-06-16,Nintendo Browser,1
2016-06-16,Mozilla,0
2016-06-17,Safari,10824
2016-06-17,Chrome,6106
2016-06-17,Internet Explorer,4628
2016-06-17,Firefox,875
2016-06-17,Edge,520
2016-06-17,Android Browser,204
2016-06-17,Amazon Silk,199
2016-06-17,Safari (in-app),191
2016-06-17,Opera,37
2016-06-17,Opera Mini,28
2016-06-17,UC Browser,18
2016-06-17,IE with Chrome Frame,15
2016-06-17,BlackBerry,10
2016-06-17,(not set),4
2016-06-17,Mozilla Compatible Agent,3
2016-06-17,SeaMonkey,2
2016-06-17,Maxthon,1
2016-06-17,Mozilla,0
2016-06-18,Safari,10217
2016-06-18,Chrome,4261
2016-06-18,Internet Explorer,1073
2016-06-18,Firefox,602
2016-06-18,Edge,399
2016-06-18,Android Browser,227
2016-06-18,Amazon Silk,226
2016-06-18,Safari (in-app),135
2016-06-18,Opera,32
2016-06-18,Opera Mini,29
2016-06-18,BlackBerry,22
2016-06-18,UC Browser,18
2016-06-18,Mozilla Compatible Agent,3
2016-06-18,SeaMonkey,3
2016-06-18,(not set),1
2016-06-18,IE with Chrome Frame,1
2016-06-19,Safari,11700
2016-06-19,Chrome,4664
2016-06-19,Internet Explorer,1041
2016-06-19,Firefox,591
2016-06-19,Edge,444
2016-06-19,Amazon Silk,277
2016-06-19,Android Browser,218
2016-06-19,Safari (in-app),189
2016-06-19,Opera,39
2016-06-19,Opera Mini,33
2016-06-19,BlackBerry,29
2016-06-19,UC Browser,21
2016-06-19,(not set),3
2016-06-19,Mozilla Compatible Agent,2
2016-06-19,Nokia Browser,2
2016-06-19,SeaMonkey,2
2016-06-19,Nintendo 3DS Browser,1
2016-06-19,YaBrowser,1
2016-06-19,Mozilla,0
2016-06-20,Safari,14540
2016-06-20,Chrome,8000
2016-06-20,Internet Explorer,6049
2016-06-20,Firefox,1234
2016-06-20,Edge,668
2016-06-20,Android Browser,359
2016-06-20,Amazon Silk,292
2016-06-20,Safari (in-app),124
2016-06-20,Opera,47
2016-06-20,Opera Mini,40
2016-06-20,BlackBerry,35
2016-06-20,UC Browser,18
2016-06-20,IE with Chrome Frame,17
2016-06-20,Coc Coc,3
2016-06-20,Maxthon,3
2016-06-20,Mozilla Compatible Agent,3
2016-06-20,YaBrowser,3
2016-06-20,(not set),2
2016-06-20,Playstation 3,2
2016-06-20,SeaMonkey,2
2016-06-20,MRCHROME,1
2016-06-20,YE,1
2016-06-21,Safari,13045
2016-06-21,Chrome,7459
2016-06-21,Internet Explorer,5614
2016-06-21,Firefox,1016
2016-06-21,Edge,666
2016-06-21,Android Browser,304
2016-06-21,Amazon Silk,258
2016-06-21,Safari (in-app),86
2016-06-21,Opera,41
2016-06-21,Opera Mini,38
2016-06-21,BlackBerry,37
2016-06-21,UC Browser,19
2016-06-21,IE with Chrome Frame,15
2016-06-21,(not set),8
2016-06-21,Mozilla Compatible Agent,5
2016-06-21,Maxthon,4
2016-06-21,SeaMonkey,4
2016-06-21,Iron,2
2016-06-21,Nokia Browser,2
2016-06-21,YE,2
2016-06-21,BlackBerry9700,1
2016-06-21,NetFront,1
2016-06-22,Safari,14433
2016-06-22,Chrome,7980
2016-06-22,Internet Explorer,5974
2016-06-22,Firefox,1117
2016-06-22,Edge,670
2016-06-22,Android Browser,301
2016-06-22,Amazon Silk,299
2016-06-22,Safari (in-app),206
2016-06-22,Opera,44
2016-06-22,Opera Mini,44
2016-06-22,BlackBerry,27
2016-06-22,UC Browser,21
2016-06-22,IE with Chrome Frame,14
2016-06-22,SeaMonkey,4
2016-06-22,YaBrowser,3
2016-06-22,Mozilla Compatible Agent,2
2016-06-22,Coc Coc,1
2016-06-22,Maxthon,1
2016-06-22,Nichrome,1
2016-06-23,Safari,15341
2016-06-23,Chrome,8572
2016-06-23,Internet Explorer,6481
2016-06-23,Firefox,1219
2016-06-23,Edge,741
2016-06-23,Amazon Silk,310
2016-06-23,Android Browser,293
2016-06-23,Safari (in-app),117
2016-06-23,Opera,61
2016-06-23,BlackBerry,40
2016-06-23,Opera Mini,27
2016-06-23,IE with Chrome Frame,25
2016-06-23,UC Browser,15
2016-06-23,Mozilla Compatible Agent,10
2016-06-23,Maxthon,4
2016-06-23,SeaMonkey,3
2016-06-23,YaBrowser,2
2016-06-23,(not set),1
2016-06-23,Iron,1
2016-06-23,Nokia Browser,1
2016-06-23,Mozilla,0
2016-06-24,Safari,11257
2016-06-24,Chrome,7289
2016-06-24,Internet Explorer,5023
2016-06-24,Safari (in-app),1340
2016-06-24,Firefox,928
2016-06-24,Edge,578
2016-06-24,Android Browser,245
2016-06-24,Amazon Silk,211
2016-06-24,Opera,47
2016-06-24,Opera Mini,31
2016-06-24,IE with Chrome Frame,22
2016-06-24,BlackBerry,21
2016-06-24,UC Browser,17
2016-06-24,Mozilla Compatible Agent,14
2016-06-24,SeaMonkey,5
2016-06-24,Coc Coc,1
2016-06-25,Safari,10657
2016-06-25,Chrome,4507
2016-06-25,Internet Explorer,1170
2016-06-25,Firefox,578
2016-06-25,Edge,445
2016-06-25,Safari (in-app),271
2016-06-25,Amazon Silk,227
2016-06-25,Android Browser,220
2016-06-25,Opera,38
2016-06-25,BlackBerry,26
2016-06-25,Opera Mini,22
2016-06-25,UC Browser,10
2016-06-25,Maxthon,4
2016-06-25,IE with Chrome Frame,2
2016-06-25,Nokia Browser,2
2016-06-25,Iron,1
2016-06-25,Playstation 3,1
2016-06-25,Mozilla,0
2016-06-26,Safari,12097
2016-06-26,Chrome,4942
2016-06-26,Internet Explorer,1077
2016-06-26,Firefox,634
2016-06-26,Edge,486
2016-06-26,Amazon Silk,265
2016-06-26,Android Browser,241
2016-06-26,Safari (in-app),136
2016-06-26,Opera,35
2016-06-26,BlackBerry,26
2016-06-26,Opera Mini,26
2016-06-26,UC Browser,23
2016-06-26,SeaMonkey,5
2016-06-26,YaBrowser,3
2016-06-26,Mozilla Compatible Agent,2
2016-06-26,Coc Coc,1
2016-06-26,IE with Chrome Frame,1
2016-06-26,Maxthon,1
2016-06-27,Safari,12537
2016-06-27,Chrome,7230
2016-06-27,Internet Explorer,5584
2016-06-27,Firefox,1020
2016-06-27,Edge,650
2016-06-27,Android Browser,238
2016-06-27,Amazon Silk,237
2016-06-27,Safari (in-app),160
2016-06-27,Opera Mini,47
2016-06-27,Opera,42
2016-06-27,IE with Chrome Frame,21
2016-06-27,BlackBerry,20
2016-06-27,UC Browser,19
2016-06-27,Mozilla Compatible Agent,7
2016-06-27,SeaMonkey,4
2016-06-27,YaBrowser,4
2016-06-27,Maxthon,3
2016-06-27,Easy-Thumb,1
2016-06-27,Iron,1
2016-06-27,RockMelt,1
2016-06-27,Mozilla,0
2016-06-28,Safari,12749
2016-06-28,Chrome,7464
2016-06-28,Internet Explorer,5804
2016-06-28,Firefox,1022
2016-06-28,Edge,698
2016-06-28,Android Browser,273
2016-06-28,Safari (in-app),226
2016-06-28,Amazon Silk,224
2016-06-28,Opera Mini,61
2016-06-28,Opera,45
2016-06-28,BlackBerry,27
2016-06-28,IE with Chrome Frame,18
2016-06-28,UC Browser,14
2016-06-28,Mozilla Compatible Agent,4
2016-06-28,SeaMonkey,4
2016-06-28,Coc Coc,1
2016-06-28,Maxthon,1
2016-06-28,YaBrowser,1
2016-06-29,Safari,13314
2016-06-29,Chrome,7931
2016-06-29,Internet Explorer,5948
2016-06-29,Firefox,1087
2016-06-29,Edge,700
2016-06-29,Android Browser,304
2016-06-29,Amazon Silk,252
2016-06-29,Safari (in-app),171
2016-06-29,Opera,47
2016-06-29,Opera Mini,46
2016-06-29,BlackBerry,24
2016-06-29,UC Browser,17
2016-06-29,IE with Chrome Frame,14
2016-06-29,SeaMonkey,7
2016-06-29,Mozilla Compatible Agent,4
2016-06-29,Coc Coc,1
2016-06-29,HUAWEI-HUAWEI-Y-220T,1
2016-06-29,Nintendo Browser,1
2016-06-29,Nokia Browser,1
2016-06-29,Mozilla,0
2016-06-30,Safari,13984
2016-06-30,Chrome,7820
2016-06-30,Internet Explorer,5857
2016-06-30,Firefox,1057
2016-06-30,Edge,690
2016-06-30,Android Browser,265
2016-06-30,Amazon Silk,262
2016-06-30,Safari (in-app),171
2016-06-30,Opera,47
2016-06-30,Opera Mini,38
2016-06-30,BlackBerry,35
2016-06-30,IE with Chrome Frame,19
2016-06-30,UC Browser,19
2016-06-30,SeaMonkey,3
2016-06-30,Phantom Browser,1
2016-06-30,Playstation 3,1
2016-07-01,Safari,12703
2016-07-01,Chrome,7222
2016-07-01,Internet Explorer,5268
2016-07-01,Firefox,985
2016-07-01,Edge,600
2016-07-01,Amazon Silk,263
2016-07-01,Android Browser,254
2016-07-01,Safari (in-app),179
2016-07-01,BlackBerry,32
2016-07-01,Opera Mini,32
2016-07-01,Opera,30
2016-07-01,IE with Chrome Frame,10
2016-07-01,UC Browser,9
2016-07-01,Mozilla Compatible Agent,7
2016-07-01,SeaMonkey,4
2016-07-01,Maxthon,2
2016-07-01,(not set),1
2016-07-01,Iron,1
2016-07-01,Mozilla,1
2016-07-01,Nokia Browser,1
2016-07-02,Safari,11591
2016-07-02,Chrome,4714
2016-07-02,Internet Explorer,1195
2016-07-02,Firefox,649
2016-07-02,Edge,441
2016-07-02,Amazon Silk,281
2016-07-02,Safari (in-app),267
2016-07-02,Android Browser,242
2016-07-02,Opera Mini,31
2016-07-02,Opera,26
2016-07-02,BlackBerry,21
2016-07-02,UC Browser,20
2016-07-02,SeaMonkey,4
2016-07-02,IE with Chrome Frame,2
2016-07-02,(not set),1
2016-07-02,HggH PhantomJS Screenshoter,1
2016-07-02,Mozilla,1
2016-07-02,Mozilla Compatible Agent,1
2016-07-02,Nokia Browser,1
2016-07-03,Safari,13358
2016-07-03,Chrome,5297
2016-07-03,Internet Explorer,1120
2016-07-03,Firefox,652
2016-07-03,Edge,523
2016-07-03,Amazon Silk,319
2016-07-03,Android Browser,286
2016-07-03,Safari (in-app),93
2016-07-03,Opera,39
2016-07-03,Opera Mini,35
2016-07-03,BlackBerry,20
2016-07-03,UC Browser,13
2016-07-03,SeaMonkey,5
2016-07-03,Maxthon,3
2016-07-03,Mozilla Compatible Agent,2
2016-07-03,Coc Coc,1
2016-07-03,YaBrowser,1
2016-07-03,Mozilla,0
2016-07-04,Safari,12816
2016-07-04,Chrome,7352
2016-07-04,Internet Explorer,5454
2016-07-04,Firefox,1082
2016-07-04,Edge,594
2016-07-04,Android Browser,261
2016-07-04,Amazon Silk,249
2016-07-04,Safari (in-app),168
2016-07-04,BlackBerry,43
2016-07-04,Opera,34
2016-07-04,Opera Mini,30
2016-07-04,UC Browser,16
2016-07-04,IE with Chrome Frame,13
2016-07-04,SeaMonkey,5
2016-07-04,Mozilla Compatible Agent,3
2016-07-04,Maxthon,2
2016-07-04,Playstation 3,1
2016-07-04,YE,1
2016-07-05,Safari,12305
2016-07-05,Chrome,7152
2016-07-05,Internet Explorer,5453
2016-07-05,Firefox,988
2016-07-05,Edge,631
2016-07-05,Android Browser,230
2016-07-05,Amazon Silk,222
2016-07-05,Safari (in-app),109
