date,browser_version,visits
2016-06-10,6.0,5
2016-06-11,11.0,1057
2016-06-11,10.0,57
2016-06-11,9.0,54
2016-06-11,7.0,48
2016-06-11,8.0,43
2016-06-12,11.0,1047
2016-06-12,10.0,63
2016-06-12,9.0,54
2016-06-12,7.0,40
2016-06-12,8.0,35
2016-06-13,11.0,3634
2016-06-13,7.0,1020
2016-06-13,10.0,351
2016-06-13,8.0,172
2016-06-13,9.0,150
2016-06-13,6.0,3
2016-06-14,11.0,3974
2016-06-14,7.0,1040
2016-06-14,10.0,318
2016-06-14,8.0,146
2016-06-14,9.0,142
2016-06-14,6.0,2
2016-06-15,11.0,3467
2016-06-15,7.0,902
2016-06-15,10.0,341
2016-06-15,8.0,156
2016-06-15,9.0,153
2016-06-15,6.0,1
2016-06-16,11.0,3163
2016-06-16,7.0,874
2016-06-16,10.0,308
2016-06-16,9.0,153
2016-06-16,8.0,140
2016-06-17,11.0,3188
2016-06-17,7.0,890
2016-06-17,10.0,284
2016-06-17,9.0,135
2016-06-17,8.0,130
2016-06-17,6.0,1
2016-06-18,11.0,912
2016-06-18,7.0,50
2016-06-18,10.0,44
2016-06-18,9.0,38
2016-06-18,8.0,28
2016-06-18,6.0,1
2016-06-19,11.0,889
2016-06-19,9.0,50
2016-06-19,10.0,44
2016-06-19,7.0,38
2016-06-19,8.0,20
2016-06-20,11.0,4303
2016-06-20,7.0,1016
2016-06-20,10.0,364
2016-06-20,8.0,190
2016-06-20,9.0,173
2016-06-20,6.0,3
2016-06-21,11.0,4087
2016-06-21,7.0,884
2016-06-21,10.0,307
2016-06-21,9.0,173
2016-06-21,8.0,160
2016-06-21,6.0,3
2016-06-22,11.0,4274
2016-06-22,7.0,952
2016-06-22,10.0,364
2016-06-22,9.0,197
2016-06-22,8.0,186
2016-06-22,9.10,1
2016-06-23,11.0,4784
2016-06-23,7.0,908
2016-06-23,10.0,438
2016-06-23,9.0,185
2016-06-23,8.0,165
2016-06-23,9.10,1
2016-06-24,11.0,3745
2016-06-24,7.0,687
2016-06-24,10.0,317
2016-06-24,8.0,137
2016-06-24,9.0,135
2016-06-24,6.0,2
2016-06-25,11.0,1008
2016-06-25,7.0,54
2016-06-25,9.0,49
2016-06-25,10.0,44
2016-06-25,8.0,15
2016-06-26,11.0,914
2016-06-26,10.0,57
2016-06-26,9.0,51
2016-06-26,7.0,37
2016-06-26,8.0,18
2016-06-27,11.0,3963
2016-06-27,7.0,996
2016-06-27,10.0,307
2016-06-27,9.0,168
2016-06-27,8.0,146
2016-06-27,6.0,4
2016-06-28,11.0,4154
2016-06-28,7.0,990
2016-06-28,10.0,360
2016-06-28,9.0,158
2016-06-28,8.0,141
2016-06-28,6.0,1
2016-06-29,11.0,4187
2016-06-29,7.0,1057
2016-06-29,10.0,368
2016-06-29,9.0,190
2016-06-29,8.0,144
2016-06-29,6.0,2
2016-06-30,11.0,4093
2016-06-30,7.0,1039
2016-06-30,10.0,357
2016-06-30,8.0,187
2016-06-30,9.0,178
2016-06-30,6.0,3
2016-07-01,11.0,3706
2016-07-01,7.0,944
2016-07-01,10.0,299
2016-07-01,9.0,184
2016-07-01,8.0,135
2016-07-02,11.0,1022
2016-07-02,7.0,59
2016-07-02,10.0,51
2016-07-02,9.0,42
2016-07-02,8.0,21
2016-07-03,11.0,956
2016-07-03,10.0,51
2016-07-03,9.0,49
2016-07-03,7.0,45
2016-07-03,8.0,18
2016-07-03,6.0,1
2016-07-04,11.0,3835
2016-07-04,7.0,971
2016-07-04,10.0,330
2016-07-04,9.0,168
2016-07-04,8.0,149
2016-07-04,6.0,1
2016-07-05,11.0,3817
2016-07-05,7.0,1009
2016-07-05,10.0,298
2016-07-05,9.0,168
2016-07-05,8.0,159
2016-07-05,6.0,2
2016-07-06,11.0,3470
2016-07-06,7.0,1057
2016-07-06,10.0,301
2016-07-06,8.0,164
2016-07-06,9.0,147
2016-07-07,11.0,3710
2016-07-07,7.0,1072
2016-07-07,10.0,300
2016-07-07,9.0,188
2016-07-07,8.0,177
2016-07-08,11.0,3577
2016-07-08,7.0,1041
2016-07-08,10.0,306
2016-07-08,8.0,153
2016-07-08,9.0,140
2016-07-09,11.0,1056
2016-07-09,7.0,57
2016-07-09,9.0,48
2016-07-09,10.0,46
2016-07-09,8.0,33
2016-07-10,11.0,995
2016-07-10,10.0,57
2016-07-10,7.0,48
2016-07-10,9.0,48
2016-07-10,8.0,37
2016-07-11,11.0,3839
2016-07-11,7.0,1032
2016-07-11,10.0,304
2016-07-11,9.0,174
2016-07-11,8.0,171
2016-07-11,6.0,1
2016-07-12,11.0,3749
2016-07-12,7.0,965
2016-07-12,10.0,322
2016-07-12,9.0,166
2016-07-12,8.0,138
2016-07-12,6.0,1
2016-07-13,11.0,3702
2016-07-13,7.0,977
2016-07-13,10.0,327
2016-07-13,9.0,155
2016-07-13,8.0,148
2016-07-13,6.0,1
2016-07-14,11.0,3456
2016-07-14,7.0,992
2016-07-14,10.0,245
2016-07-14,9.0,184
2016-07-14,8.0,142
2016-07-15,11.0,3147
2016-07-15,7.0,880
2016-07-15,10.0,248
2016-07-15,9.0,144
2016-07-15,8.0,135
2016-07-16,11.0,874
2016-07-16,7.0,56
2016-07-16,9.0,41
2016-07-16,10.0,40
2016-07-16,8.0,24
2016-07-17,11.0,863
2016-07-17,10.0,55
2016-07-17,7.0,50
2016-07-17,9.0,43
2016-07-17,8.0,24
2016-07-18,11.0,4421
2016-07-18,7.0,1102
2016-07-18,10.0,444
2016-07-18,9.0,185
2016-07-18,8.0,176
2016-07-19,11.0,5299
2016-07-19,7.0,1286
2016-07-19,10.0,533
2016-07-19,8.0,246
2016-07-19,9.0,221
2016-07-20,11.0,3854
2016-07-20,7.0,982
2016-07-20,10.0,341
2016-07-20,9.0,148
2016-07-20,8.0,145
2016-07-21,11.0,3675
2016-07-21,7.0,930
2016-07-21,10.0,324
2016-07-21,9.0,175
2016-07-21,8.0,151
2016-07-22,11.0,3252
2016-07-22,7.0,863
2016-07-22,10.0,282
2016-07-22,9.0,119
2016-07-22,8.0,107
2016-07-23,11.0,961
2016-07-23,7.0,60
2016-07-23,10.0,57
2016-07-23,8.0,35
2016-07-23,9.0,31
2016-07-24,11.0,926
2016-07-24,10.0,47
2016-07-24,7.0,46
2016-07-24,9.0,42
2016-07-24,8.0,17
2016-07-25,11.0,3455
2016-07-25,7.0,939
2016-07-25,10.0,312
2016-07-25,9.0,137
2016-07-25,8.0,114
2016-07-26,11.0,3653
2016-07-26,7.0,982
2016-07-26,10.0,288
2016-07-26,8.0,130
2016-07-26,9.0,126
2016-07-26,6.0,1
2016-07-27,11.0,3966
2016-07-27,7.0,954
2016-07-27,10.0,356
2016-07-27,9.0,158
2016-07-27,8.0,125
2016-07-28,11.0,3782
2016-07-28,7.0,903
2016-07-28,10.0,300
2016-07-28,9.0,165
2016-07-28,8.0,132
2016-07-28,6.0,1
2016-07-29,11.0,3363
2016-07-29,7.0,798
2016-07-29,10.0,250
2016-07-29,8.0,134
2016-07-29,9.0,128
2016-07-30,11.0,947
2016-07-30,7.0,51
2016-07-30,9.0,44
2016-07-30,10.0,43
2016-07-30,8.0,25
2016-07-31,11.0,821
2016-07-31,7.0,42
2016-07-31,10.0,38
2016-07-31,9.0,38
2016-07-31,8.0,22
2016-08-01,11.0,3784
2016-08-01,7.0,1018
2016-08-01,10.0,325
2016-08-01,9.0,129
2016-08-01,8.0,123
2016-08-01,6.0,2
2016-08-02,11.0,3998
2016-08-02,7.0,971
2016-08-02,10.0,338
2016-08-02,9.0,173
2016-08-02,8.0,139
2016-08-03,11.0,4119
2016-08-03,7.0,1088
2016-08-03,10.0,363
2016-08-03,9.0,154
2016-08-03,8.0,145
2016-08-04,11.0,3530
2016-08-04,7.0,1253
2016-08-04,10.0,277
2016-08-04,8.0,155
2016-08-04,9.0,129
2016-08-05,11.0,2996
2016-08-05,7.0,1027
2016-08-05,10.0,267
2016-08-05,8.0,130
2016-08-05,9.0,119
2016-08-06,11.0,910
2016-08-06,7.0,93
2016-08-06,10.0,54
2016-08-06,9.0,36
2016-08-06,8.0,22
2016-08-06,9.10,1
2016-08-07,11.0,1067
2016-08-07,7.0,76
2016-08-07,10.0,54
2016-08-07,9.0,49
2016-08-07,8.0,20
2016-08-08,11.0,3386
2016-08-08,7.0,1020
2016-08-08,10.0,298
2016-08-08,8.0,137
2016-08-08,9.0,125
2016-08-09,11.0,2609
2016-08-09,7.0,768
2016-08-09,10.0,222
2016-08-09,9.0,110
2016-08-09,8.0,90
2016-08-10,11.0,3419
2016-08-10,7.0,994
2016-08-10,10.0,279
2016-08-10,9.0,142
2016-08-10,8.0,95
2016-08-11,11.0,3230
2016-08-11,7.0,917
2016-08-11,10.0,274
2016-08-11,9.0,145
2016-08-11,8.0,111
2016-08-11,6.0,1
2016-08-12,11.0,3015
2016-08-12,7.0,825
2016-08-12,10.0,242
2016-08-12,9.0,134
2016-08-12,8.0,101
2016-08-13,11.0,917
2016-08-13,7.0,49
2016-08-13,10.0,44
2016-08-13,9.0,43
2016-08-13,8.0,21
2016-08-14,11.0,739
2016-08-14,10.0,48
2016-08-14,7.0,44
2016-08-14,9.0,36
2016-08-14,8.0,20
2016-08-15,11.0,3662
2016-08-15,7.0,1000
2016-08-15,10.0,287
2016-08-15,9.0,130
2016-08-15,8.0,120
2016-08-15,6.0,1
2016-08-16,11.0,3891
2016-08-16,7.0,1041
2016-08-16,10.0,358
2016-08-16,8.0,128
2016-08-16,9.0,124
2016-08-16,6.0,1
2016-08-17,11.0,4296
2016-08-17,7.0,1024
2016-08-17,10.0,403
2016-08-17,9.0,138
2016-08-17,8.0,130
2016-08-18,11.0,4071
2016-08-18,7.0,1052
2016-08-18,10.0,321
2016-08-18,8.0,130
2016-08-18,9.0,106
