date,os,visits
2016-05-31,Samsung,1
2016-05-31,Windows,11222
2016-05-31,Windows Phone,374
2016-05-31,iOS,12287
2016-06-01,(not set),23
2016-06-01,Android,3475
2016-06-01,Bada,1
2016-06-01,BlackBerry,26
2016-06-01,Chrome OS,35
2016-06-01,FreeBSD,4
2016-06-01,Linux,75
2016-06-01,Macintosh,1749
2016-06-01,Playstation 3,2
2016-06-01,Playstation Vita,2
2016-06-01,Samsung,6
2016-06-01,SymbianOS,1
2016-06-01,Windows,9975
2016-06-01,Windows Phone,349
2016-06-01,iOS,11451
2016-06-02,(not set),27
2016-06-02,Android,3240
2016-06-02,BlackBerry,13
2016-06-02,Chrome OS,45
2016-06-02,FreeBSD,2
2016-06-02,Linux,67
2016-06-02,Macintosh,1710
2016-06-02,Samsung,3
2016-06-02,SymbianOS,1
2016-06-02,Windows,9892
2016-06-02,Windows Phone,321
2016-06-02,iOS,11117
2016-06-03,(not set),23
2016-06-03,Android,2881
2016-06-03,BlackBerry,22
2016-06-03,Chrome OS,29
2016-06-03,FreeBSD,2
2016-06-03,Linux,62
2016-06-03,Macintosh,1529
2016-06-03,Samsung,5
2016-06-03,Sony,1
2016-06-03,Windows,8752
2016-06-03,Windows Phone,279
2016-06-03,iOS,9893
2016-06-04,(not set),14
2016-06-04,Android,2496
2016-06-04,BlackBerry,29
2016-06-04,Chrome OS,32
2016-06-04,FreeBSD,3
2016-06-04,Linux,54
2016-06-04,Macintosh,1167
2016-06-04,Nokia,1
2016-06-04,Samsung,3
2016-06-04,Windows,3470
2016-06-04,Windows Phone,231
2016-06-04,iOS,9229
2016-06-05,(not set),20
2016-06-05,Android,2799
2016-06-05,BlackBerry,27
2016-06-05,Chrome OS,51
2016-06-05,FreeBSD,2
2016-06-05,Linux,65
2016-06-05,Macintosh,1373
2016-06-05,Nokia,1
2016-06-05,Samsung,3
2016-06-05,SymbianOS,1
2016-06-05,Windows,3433
2016-06-05,Windows Phone,225
2016-06-05,iOS,10355
2016-06-06,(not set),24
2016-06-06,Android,3268
2016-06-06,BlackBerry,27
2016-06-06,Chrome OS,43
2016-06-06,FreeBSD,1
2016-06-06,Linux,67
2016-06-06,Macintosh,1859
2016-06-06,Samsung,4
2016-06-06,SymbianOS,1
2016-06-06,Windows,10466
2016-06-06,Windows Phone,345
2016-06-06,iOS,11787
2016-06-07,(not set),35
2016-06-07,Android,3446
2016-06-07,BlackBerry,26
2016-06-07,Chrome OS,38
2016-06-07,FreeBSD,2
2016-06-07,Linux,82
2016-06-07,Macintosh,1924
2016-06-07,Samsung,2
2016-06-07,Windows,10903
2016-06-07,Windows Phone,304
2016-06-07,iOS,12600
2016-06-08,(not set),24
2016-06-08,Android,3377
2016-06-08,BlackBerry,37
2016-06-08,Chrome OS,41
2016-06-08,FreeBSD,2
2016-06-08,Linux,76
2016-06-08,Macintosh,1797
2016-06-08,Samsung,2
2016-06-08,Windows,10719
2016-06-08,Windows Phone,308
2016-06-08,iOS,12363
2016-06-09,(not set),23
2016-06-09,Android,3585
2016-06-09,BlackBerry,25
2016-06-09,Chrome OS,45
2016-06-09,FreeBSD,1
2016-06-09,Linux,83
2016-06-09,Macintosh,1744
2016-06-09,Samsung,6
2016-06-09,SymbianOS,3
2016-06-09,Windows,10656
2016-06-09,Windows Phone,348
2016-06-09,iOS,12073
2016-06-10,(not set),21
2016-06-10,Android,3560
2016-06-10,BlackBerry,30
2016-06-10,Chrome OS,43
2016-06-10,FreeBSD,2
2016-06-10,Linux,71
2016-06-10,Macintosh,1699
2016-06-10,Samsung,4
2016-06-10,Windows,9757
2016-06-10,Windows Phone,321
2016-06-10,iOS,11391
2016-06-11,(not set),24
2016-06-11,Android,3221
2016-06-11,BlackBerry,28
2016-06-11,Chrome OS,37
2016-06-11,FreeBSD,2
2016-06-11,Linux,75
2016-06-11,Macintosh,1263
2016-06-11,Nokia,2
2016-06-11,Playstation 3,1
2016-06-11,Samsung,3
2016-06-11,SymbianOS,2
2016-06-11,Windows,3776
2016-06-11,Windows Phone,285
2016-06-11,iOS,11003
2016-06-12,(not set),19
2016-06-12,Android,3276
2016-06-12,BlackBerry,29
2016-06-12,Chrome OS,49
2016-06-12,Firefox OS,1
2016-06-12,FreeBSD,2
2016-06-12,Linux,82
2016-06-12,Macintosh,1724
2016-06-12,Nokia,1
2016-06-12,Samsung,5
2016-06-12,SymbianOS,1
2016-06-12,Windows,4292
2016-06-12,Windows Phone,299
2016-06-12,iOS,12492
2016-06-13,(not set),29
2016-06-13,Android,3196
2016-06-13,BlackBerry,20
2016-06-13,Chrome OS,43
2016-06-13,FreeBSD,2
2016-06-13,Linux,74
2016-06-13,Macintosh,1931
2016-06-13,Samsung,2
2016-06-13,Windows,10354
2016-06-13,Windows Phone,335
2016-06-13,Xbox,1
2016-06-13,iOS,11168
2016-06-14,(not set),27
2016-06-14,Android,3284
2016-06-14,BlackBerry,32
2016-06-14,Chrome OS,43
2016-06-14,FreeBSD,3
2016-06-14,Linux,85
2016-06-14,Macintosh,1858
2016-06-14,Nintendo 3DS,1
2016-06-14,Nokia,1
2016-06-14,Samsung,6
2016-06-14,Windows,10641
2016-06-14,Windows Phone,288
2016-06-14,Xbox,1
2016-06-14,iOS,10884
2016-06-15,(not set),23
2016-06-15,Android,3075
2016-06-15,BlackBerry,30
2016-06-15,Chrome OS,43
2016-06-15,FreeBSD,2
2016-06-15,Linux,75
2016-06-15,Macintosh,1692
2016-06-15,Nokia,3
2016-06-15,Samsung,6
2016-06-15,Windows,9665
2016-06-15,Windows Phone,283
2016-06-15,iOS,10139
2016-06-16,(not set),25
2016-06-16,Android,3021
2016-06-16,BlackBerry,23
2016-06-16,Chrome OS,45
2016-06-16,FreeBSD,4
2016-06-16,Linux,64
2016-06-16,Macintosh,1582
2016-06-16,Nintendo Wii,1
2016-06-16,Nokia,1
2016-06-16,Samsung,4
2016-06-16,Windows,9153
2016-06-16,Windows Phone,275
2016-06-16,iOS,10336
2016-06-17,(not set),19
2016-06-17,Android,2890
2016-06-17,BlackBerry,11
2016-06-17,Chrome OS,39
2016-06-17,FreeBSD,2
2016-06-17,Linux,77
2016-06-17,Macintosh,1457
2016-06-17,Nokia,2
2016-06-17,Windows,8926
2016-06-17,Windows Phone,291
2016-06-17,Xbox,1
2016-06-17,iOS,9950
2016-06-18,(not set),24
2016-06-18,Android,2740
2016-06-18,BlackBerry,22
2016-06-18,Chrome OS,28
2016-06-18,FreeBSD,2
2016-06-18,Linux,65
2016-06-18,Macintosh,1141
2016-06-18,Samsung,1
2016-06-18,Windows,3391
2016-06-18,Windows Phone,224
2016-06-18,iOS,9611
2016-06-19,(not set),26
2016-06-19,Android,2982
2016-06-19,BlackBerry,29
2016-06-19,Chrome OS,40
2016-06-19,FreeBSD,1
2016-06-19,Linux,75
2016-06-19,Macintosh,1415
2016-06-19,Nintendo 3DS,1
2016-06-19,Nokia,1
2016-06-19,Samsung,2
2016-06-19,SymbianOS,1
2016-06-19,Windows,3526
2016-06-19,Windows Phone,251
2016-06-19,iOS,10907
2016-06-20,(not set),19
2016-06-20,Android,3848
2016-06-20,BlackBerry,37
2016-06-20,Chrome OS,57
2016-06-20,FreeBSD,4
2016-06-20,Linux,106
2016-06-20,Macintosh,2143
2016-06-20,Playstation 3,2
2016-06-20,Samsung,2
2016-06-20,Windows,11726
2016-06-20,Windows Phone,336
2016-06-20,iOS,13163
2016-06-21,(not set),33
2016-06-21,Android,3509
2016-06-21,BlackBerry,39
2016-06-21,Chrome OS,58
2016-06-21,FreeBSD,3
2016-06-21,Linux,87
2016-06-21,Macintosh,1858
2016-06-21,Nokia,1
2016-06-21,Samsung,2
2016-06-21,SymbianOS,1
2016-06-21,Windows,10841
2016-06-21,Windows Phone,330
2016-06-21,Xbox,2
2016-06-21,iOS,11863
2016-06-22,(not set),16
2016-06-22,Android,3844
2016-06-22,BlackBerry,31
2016-06-22,Chrome OS,64
2016-06-22,FreeBSD,4
2016-06-22,Linux,85
2016-06-22,Macintosh,1964
2016-06-22,Nokia,1
2016-06-22,Samsung,6
2016-06-22,Windows,11446
2016-06-22,Windows Phone,355
2016-06-22,iOS,13326
2016-06-23,(not set),21
2016-06-23,Android,4001
2016-06-23,BlackBerry,41
2016-06-23,Chrome OS,56
2016-06-23,FreeBSD,5
2016-06-23,Linux,100
2016-06-23,Macintosh,2164
2016-06-23,Nokia,1
2016-06-23,Samsung,1
2016-06-23,Windows,12524
2016-06-23,Windows Phone,378
2016-06-23,iOS,13972
2016-06-24,(not set),17
2016-06-24,Android,3696
2016-06-24,BlackBerry,22
2016-06-24,Chrome OS,39
2016-06-24,FreeBSD,3
2016-06-24,Linux,76
2016-06-24,Macintosh,1612
2016-06-24,Windows,9738
2016-06-24,Windows Phone,322
2016-06-24,Xbox,2
2016-06-24,iOS,11502
2016-06-25,(not set),12
2016-06-25,Android,2928
2016-06-25,BlackBerry,27
2016-06-25,Chrome OS,32
2016-06-25,FreeBSD,5
2016-06-25,Linux,65
2016-06-25,Macintosh,1186
2016-06-25,Nokia,1
2016-06-25,Playstation 3,1
2016-06-25,Samsung,2
2016-06-25,Windows,3591
2016-06-25,Windows Phone,264
2016-06-25,iOS,10067
2016-06-26,(not set),20
2016-06-26,Android,3135
2016-06-26,BlackBerry,27
2016-06-26,Chrome OS,54
2016-06-26,FreeBSD,1
2016-06-26,Linux,72
2016-06-26,Macintosh,1469
2016-06-26,Samsung,3
2016-06-26,Windows,3720
2016-06-26,Windows Phone,296
2016-06-26,iOS,11204
2016-06-27,(not set),19
2016-06-27,Android,3314
2016-06-27,BlackBerry,24
2016-06-27,Chrome OS,53
2016-06-27,FreeBSD,4
2016-06-27,Linux,105
2016-06-27,Macintosh,1860
2016-06-27,Samsung,1
2016-06-27,Windows,10702
2016-06-27,Windows Phone,308
2016-06-27,iOS,11436
2016-06-28,(not set),23
2016-06-28,Android,3424
2016-06-28,BlackBerry,28
2016-06-28,Chrome OS,47
2016-06-28,FreeBSD,3
2016-06-28,Linux,84
2016-06-28,Macintosh,1920
2016-06-28,Samsung,1
2016-06-28,Windows,11046
2016-06-28,Windows Phone,299
2016-06-28,iOS,11761
2016-06-29,(not set),21
2016-06-29,Android,3613
2016-06-29,BlackBerry,24
2016-06-29,Chrome OS,45
2016-06-29,FreeBSD,4
2016-06-29,Linux,100
2016-06-29,Macintosh,2019
2016-06-29,Windows,11560
2016-06-29,Windows Phone,344
2016-06-29,iOS,12140
2016-06-30,(not set),17
2016-06-30,Android,3563
2016-06-30,BlackBerry,38
2016-06-30,Chrome OS,50
2016-06-30,FreeBSD,4
2016-06-30,Linux,98
2016-06-30,Macintosh,1987
2016-06-30,Nokia,3
2016-06-30,Playstation 3,1
2016-06-30,Windows,11301
2016-06-30,Windows Phone,359
2016-06-30,iOS,12848
2016-07-01,(not set),17
2016-07-01,Android,3520
2016-07-01,BlackBerry,33
2016-07-01,Chrome OS,45
2016-07-01,FreeBSD,3
2016-07-01,Linux,86
2016-07-01,Macintosh,1715
2016-07-01,Nokia,1
2016-07-01,Samsung,1
2016-07-01,Windows,10186
2016-07-01,Windows Phone,349
2016-07-01,iOS,11648
2016-07-02,(not set),17
2016-07-02,Android,3181
2016-07-02,BlackBerry,21
2016-07-02,Chrome OS,28
2016-07-02,FreeBSD,4
2016-07-02,Linux,67
2016-07-02,Macintosh,1271
2016-07-02,Nokia,1
2016-07-02,Samsung,7
2016-07-02,Windows,3632
2016-07-02,Windows Phone,291
2016-07-02,iOS,10969
2016-07-03,(not set),15
2016-07-03,Android,3494
2016-07-03,BlackBerry,20
2016-07-03,Chrome OS,36
2016-07-03,FreeBSD,2
2016-07-03,Linux,74
2016-07-03,Macintosh,1610
2016-07-03,Nokia,1
2016-07-03,Windows,3905
2016-07-03,Windows Phone,303
2016-07-03,iOS,12307
2016-07-04,(not set),9
2016-07-04,Android,3478
2016-07-04,BlackBerry,45
2016-07-04,Chrome OS,42
2016-07-04,FreeBSD,4
2016-07-04,Linux,104
2016-07-04,Macintosh,1979
2016-07-04,Nokia,1
2016-07-04,Playstation 3,1
2016-07-04,Samsung,2
2016-07-04,Windows,10474
2016-07-04,Windows Phone,374
2016-07-04,iOS,11611
2016-07-05,(not set),14
2016-07-05,Android,3245
2016-07-05,BlackBerry,34
2016-07-05,Chrome OS,46
2016-07-05,FreeBSD,2
2016-07-05,Linux,81
2016-07-05,Macintosh,1862
2016-07-05,Playstation 3,1
2016-07-05,Samsung,1
2016-07-05,Windows,10488
2016-07-05,Windows Phone,323
2016-07-05,Xbox,1
2016-07-05,iOS,11135
2016-07-06,(not set),14
2016-07-06,Android,3065
2016-07-06,BlackBerry,28
2016-07-06,Chrome OS,41
2016-07-06,FreeBSD,2
2016-07-06,Linux,86
2016-07-06,Macintosh,1607
2016-07-06,SymbianOS,1
2016-07-06,Windows,9705
2016-07-06,Windows Phone,307
2016-07-06,iOS,10504
2016-07-07,(not set),19
2016-07-07,Android,3372
2016-07-07,BlackBerry,37
2016-07-07,Chrome OS,41
2016-07-07,FreeBSD,3
2016-07-07,Linux,100
2016-07-07,Macintosh,1673
2016-07-07,Samsung,1
2016-07-07,Windows,10159
2016-07-07,Windows Phone,316
2016-07-07,iOS,11568
2016-07-08,(not set),11
2016-07-08,Android,3435
2016-07-08,BlackBerry,26
2016-07-08,Chrome OS,33
2016-07-08,FreeBSD,2
2016-07-08,Linux,81
2016-07-08,Macintosh,1557
2016-07-08,Samsung,1
2016-07-08,Windows,9709
2016-07-08,Windows Phone,314
2016-07-08,iOS,11673
2016-07-09,(not set),12
2016-07-09,Android,3353
2016-07-09,BlackBerry,29
2016-07-09,Chrome OS,38
2016-07-09,FreeBSD,3
2016-07-09,Linux,75
2016-07-09,Macintosh,1147
2016-07-09,Samsung,1
2016-07-09,Windows,3720
2016-07-09,Windows Phone,318
2016-07-09,iOS,12207
2016-07-10,(not set),13
2016-07-10,Android,3628
2016-07-10,Bada,1
2016-07-10,BlackBerry,28
2016-07-10,Chrome OS,49
2016-07-10,FreeBSD,3
2016-07-10,Linux,91
2016-07-10,Macintosh,1612
2016-07-10,Samsung,3
2016-07-10,Windows,4006
2016-07-10,Windows Phone,321
2016-07-10,Xbox,1
2016-07-10,iOS,13590
2016-07-11,(not set),19
2016-07-11,Android,3507
2016-07-11,BlackBerry,35
2016-07-11,Chrome OS,41
2016-07-11,FreeBSD,3
2016-07-11,Linux,101
2016-07-11,Macintosh,1917
2016-07-11,Playstation 3,2
2016-07-11,Samsung,1
2016-07-11,Windows,10769
2016-07-11,Windows Phone,324
2016-07-11,iOS,12335
2016-07-12,(not set),16
2016-07-12,Android,3273
2016-07-12,BlackBerry,21
2016-07-12,Chrome OS,39
2016-07-12,Firefox OS,1
2016-07-12,FreeBSD,2
2016-07-12,Linux,66
2016-07-12,Macintosh,1721
2016-07-12,SymbianOS,3
2016-07-12,Windows,10266
2016-07-12,Windows Phone,312
2016-07-12,iOS,11581
2016-07-13,(not set),11
2016-07-13,Android,3367
2016-07-13,BlackBerry,28
2016-07-13,Chrome OS,45
2016-07-13,FreeBSD,1
2016-07-13,Linux,87
2016-07-13,Macintosh,1714
2016-07-13,Nokia,1
2016-07-13,Playstation 3,1
2016-07-13,Samsung,1
2016-07-13,SymbianOS,1
2016-07-13,Windows,10226
2016-07-13,Windows Phone,323
2016-07-13,iOS,11023
2016-07-14,(not set),21
2016-07-14,Android,3090
2016-07-14,BlackBerry,31
2016-07-14,Chrome OS,33
2016-07-14,FreeBSD,5
2016-07-14,Linux,77
2016-07-14,Macintosh,1546
2016-07-14,Samsung,2
2016-07-14,Windows,9412
2016-07-14,Windows Phone,284
2016-07-14,Xbox,1
2016-07-14,iOS,10486
2016-07-15,(not set),16
2016-07-15,Android,2891
2016-07-15,BlackBerry,20
2016-07-15,Chrome OS,34
2016-07-15,FreeBSD,3
2016-07-15,Linux,77
2016-07-15,Macintosh,1331
2016-07-15,Nokia,1
2016-07-15,Windows,8651
2016-07-15,Windows Phone,246
2016-07-15,iOS,9670
2016-07-16,(not set),16
2016-07-16,Android,2953
2016-07-16,Bada,2
2016-07-16,BlackBerry,21
2016-07-16,Chrome OS,30
2016-07-16,FreeBSD,2
2016-07-16,Linux,61
2016-07-16,Macintosh,1070
2016-07-16,Nokia,1
2016-07-16,Samsung,1
2016-07-16,Windows,3226
2016-07-16,Windows Phone,266
2016-07-16,iOS,10251
2016-07-17,(not set),14
2016-07-17,Android,3439
2016-07-17,Bada,2
2016-07-17,BlackBerry,20
2016-07-17,Chrome OS,45
2016-07-17,FreeBSD,4
2016-07-17,Linux,62
2016-07-17,Macintosh,1262
2016-07-17,Playstation Vita,2
2016-07-17,Windows,3473
2016-07-17,Windows Phone,288
2016-07-17,iOS,12497
2016-07-18,(not set),13
2016-07-18,Android,4127
2016-07-18,BlackBerry,16
2016-07-18,Chrome OS,37
2016-07-18,FreeBSD,2
2016-07-18,Linux,88
2016-07-18,Macintosh,1951
2016-07-18,Playstation Vita,1
2016-07-18,Samsung,2
2016-07-18,Windows,11951
2016-07-18,Windows Phone,372
2016-07-18,iOS,14730
2016-07-19,(not set),19
2016-07-19,Android,5362
2016-07-19,BlackBerry,42
2016-07-19,Chrome OS,55
2016-07-19,FreeBSD,2
2016-07-19,Linux,100
2016-07-19,Macintosh,2322
2016-07-19,Playstation 3,2
2016-07-19,Windows,14324
2016-07-19,Windows Phone,468
2016-07-19,Xbox,1
2016-07-19,iOS,19008
2016-07-20,(not set),10
2016-07-20,Android,4118
2016-07-20,BlackBerry,24
2016-07-20,Chrome OS,49
2016-07-20,FreeBSD,2
2016-07-20,Linux,79
2016-07-20,Macintosh,1897
2016-07-20,Samsung,1
2016-07-20,SunOS,1
2016-07-20,Windows,10635
2016-07-20,Windows Phone,373
2016-07-20,iOS,14370
2016-07-21,(not set),15
2016-07-21,Android,3516
2016-07-21,BlackBerry,31
2016-07-21,Chrome OS,46
2016-07-21,FreeBSD,2
2016-07-21,Linux,58
2016-07-21,Macintosh,1708
2016-07-21,Nokia,1
2016-07-21,Windows,10011
2016-07-21,Windows Phone,311
2016-07-21,iOS,12192
2016-07-22,(not set),13
2016-07-22,Android,3359
2016-07-22,BlackBerry,28
2016-07-22,Chrome OS,37
2016-07-22,FreeBSD,1
2016-07-22,Linux,75
2016-07-22,Macintosh,1403
2016-07-22,Windows,8737
2016-07-22,Windows Phone,268
2016-07-22,iOS,10974
2016-07-23,(not set),11
2016-07-23,Android,3234
2016-07-23,BlackBerry,38
2016-07-23,Chrome OS,46
2016-07-23,FreeBSD,3
2016-07-23,Linux,61
2016-07-23,Macintosh,1128
2016-07-23,Nokia,1
2016-07-23,Samsung,1
2016-07-23,SymbianOS,2
2016-07-23,Windows,3499
2016-07-23,Windows Phone,276
2016-07-23,iOS,11440
2016-07-24,(not set),12
2016-07-24,Android,3588
2016-07-24,BlackBerry,21
2016-07-24,Chrome OS,45
2016-07-24,FreeBSD,2
2016-07-24,Linux,65
2016-07-24,Macintosh,1438
2016-07-24,Samsung,1
2016-07-24,Windows,3590
2016-07-24,Windows Phone,311
2016-07-24,iOS,12809
2016-07-25,(not set),15
2016-07-25,Android,3550
2016-07-25,BlackBerry,22
2016-07-25,Chrome OS,35
2016-07-25,FreeBSD,2
2016-07-25,Linux,72
2016-07-25,Macintosh,1731
2016-07-25,Playstation 3,1
2016-07-25,Windows,9634
2016-07-25,Windows Phone,300
2016-07-25,iOS,12100
2016-07-26,(not set),11
2016-07-26,Android,3633
2016-07-26,BlackBerry,26
2016-07-26,Chrome OS,36
2016-07-26,FreeBSD,3
2016-07-26,Linux,85
2016-07-26,Macintosh,1794
2016-07-26,Playstation 3,1
2016-07-26,Windows,9912
2016-07-26,Windows Phone,349
2016-07-26,iOS,12677
2016-07-27,(not set),23
2016-07-27,Android,3685
2016-07-27,BlackBerry,28
2016-07-27,Chrome OS,42
2016-07-27,FreeBSD,2
2016-07-27,Linux,76
2016-07-27,Macintosh,1882
2016-07-27,Playstation 3,4
2016-07-27,Windows,10542
2016-07-27,Windows Phone,304
2016-07-27,iOS,12603
2016-07-28,(not set),17
2016-07-28,Android,3842
2016-07-28,BlackBerry,26
2016-07-28,Chrome OS,57
2016-07-28,FreeBSD,4
2016-07-28,Linux,86
2016-07-28,Macintosh,1888
2016-07-28,Playstation 3,1
2016-07-28,Samsung,1
2016-07-28,Windows,10397
2016-07-28,Windows Phone,302
2016-07-28,iOS,12855
2016-07-29,(not set),18
2016-07-29,Android,3318
2016-07-29,BlackBerry,24
2016-07-29,Chrome OS,40
2016-07-29,FreeBSD,6
2016-07-29,Linux,67
2016-07-29,Macintosh,1550
2016-07-29,Nintendo Wii,1
2016-07-29,Playstation Vita,1
2016-07-29,Samsung,1
2016-07-29,Windows,8892
2016-07-29,Windows Phone,307
2016-07-29,iOS,11222
2016-07-30,(not set),11
2016-07-30,Android,2941
2016-07-30,BlackBerry,33
2016-07-30,Chrome OS,37
2016-07-30,FreeBSD,3
2016-07-30,Linux,71
2016-07-30,Macintosh,1242
2016-07-30,Playstation 3,1
2016-07-30,Samsung,2
2016-07-30,Windows,3422
2016-07-30,Windows Phone,266
2016-07-30,iOS,10141
2016-07-31,(not set),15
2016-07-31,Android,3212
2016-07-31,Bada,2
2016-07-31,BlackBerry,26
2016-07-31,Chrome OS,37
2016-07-31,FreeBSD,2
2016-07-31,Linux,64
2016-07-31,Macintosh,1275
2016-07-31,Nokia,1
2016-07-31,Playstation 3,1
2016-07-31,Samsung,3
2016-07-31,Windows,3383
2016-07-31,Windows Phone,270
2016-07-31,Xbox,1
2016-07-31,iOS,11989
2016-08-01,(not set),24
2016-08-01,Android,3896
2016-08-01,BlackBerry,37
2016-08-01,Chrome OS,58
2016-08-01,FreeBSD,4
2016-08-01,Linux,80
2016-08-01,Macintosh,1964
2016-08-01,Samsung,1
2016-08-01,Windows,10438
2016-08-01,Windows Phone,355
2016-08-01,iOS,13026
2016-08-02,(not set),10
2016-08-02,Android,4007
2016-08-02,BlackBerry,34
2016-08-02,Chrome OS,57
2016-08-02,FreeBSD,3
2016-08-02,Linux,83
2016-08-02,Macintosh,2094
2016-08-02,Windows,11210
2016-08-02,Windows Phone,355
2016-08-02,iOS,13871
2016-08-03,(not set),16
2016-08-03,Android,4220
2016-08-03,BlackBerry,42
2016-08-03,Chrome OS,47
2016-08-03,FreeBSD,1
2016-08-03,Linux,68
2016-08-03,Macintosh,2030
2016-08-03,Nokia,1
2016-08-03,Playstation 3,1
2016-08-03,Samsung,2
2016-08-03,Windows,11244
2016-08-03,Windows Phone,338
2016-08-03,iOS,14105
2016-08-04,(not set),24
2016-08-04,Android,3584
2016-08-04,BlackBerry,27
2016-08-04,Chrome OS,37
2016-08-04,FreeBSD,4
2016-08-04,Linux,91
2016-08-04,Macintosh,1695
2016-08-04,Playstation 3,1
2016-08-04,Playstation Vita,2
2016-08-04,Windows,10078
2016-08-04,Windows Phone,293
2016-08-04,iOS,12119
2016-08-05,(not set),6
2016-08-05,Android,3189
2016-08-05,BlackBerry,23
2016-08-05,Chrome OS,31
2016-08-05,FreeBSD,1
2016-08-05,Linux,71
2016-08-05,Macintosh,1400
2016-08-05,Nokia,1
2016-08-05,Playstation 3,1
2016-08-05,Windows,8382
2016-08-05,Windows Phone,303
2016-08-05,iOS,10927
2016-08-06,(not set),14
2016-08-06,Android,3149
2016-08-06,BlackBerry,22
2016-08-06,Chrome OS,42
2016-08-06,FreeBSD,3
2016-08-06,Linux,61
2016-08-06,Macintosh,1139
2016-08-06,Nokia,2
2016-08-06,Samsung,1
2016-08-06,SymbianOS,1
2016-08-06,Windows,3406
2016-08-06,Windows Phone,264
2016-08-06,iOS,11201
2016-08-07,(not set),17
2016-08-07,Android,3948
2016-08-07,BlackBerry,26
2016-08-07,Chrome OS,51
2016-08-07,FreeBSD,3
2016-08-07,Linux,96
2016-08-07,Macintosh,1702
2016-08-07,Playstation 3,1
2016-08-07,Windows,4317
