date,os_version,visits
2016-06-11,Vista,107
2016-06-11,XP,133
2016-06-12,10,2086
2016-06-12,7,1393
2016-06-12,8,66
2016-06-12,8.1,474
2016-06-12,Server 2003,8
2016-06-12,Vista,124
2016-06-12,XP,141
2016-06-13,10,2555
2016-06-13,2000,1
2016-06-13,7,6243
2016-06-13,8,93
2016-06-13,8.1,978
2016-06-13,Server 2003,29
2016-06-13,Vista,149
2016-06-13,XP,306
2016-06-14,10,2503
2016-06-14,7,6551
2016-06-14,8,83
2016-06-14,8.1,1027
2016-06-14,Server 2003,22
2016-06-14,Vista,152
2016-06-14,XP,303
2016-06-15,10,2321
2016-06-15,7,5932
2016-06-15,8,86
2016-06-15,8.1,874
2016-06-15,Server 2003,16
2016-06-15,Vista,152
2016-06-15,XP,284
2016-06-16,10,2209
2016-06-16,7,5523
2016-06-16,8,74
2016-06-16,8.1,891
2016-06-16,Server 2003,15
2016-06-16,Vista,171
2016-06-16,XP,270
2016-06-17,10,2150
2016-06-17,7,5401
2016-06-17,8,88
2016-06-17,8.1,850
2016-06-17,Server 2003,16
2016-06-17,Vista,137
2016-06-17,XP,284
2016-06-18,10,1516
2016-06-18,7,1243
2016-06-18,8,47
2016-06-18,8.1,358
2016-06-18,Server 2003,9
2016-06-18,Vista,93
2016-06-18,XP,125
2016-06-19,10,1698
2016-06-19,7,1140
2016-06-19,8,65
2016-06-19,8.1,396
2016-06-19,Server 2003,3
2016-06-19,Vista,110
2016-06-19,XP,114
2016-06-20,10,2873
2016-06-20,7,7099
2016-06-20,8,126
2016-06-20,8.1,1040
2016-06-20,Server 2003,24
2016-06-20,Vista,182
2016-06-20,XP,382
2016-06-21,10,2624
2016-06-21,7,6639
2016-06-21,8,98
2016-06-21,8.1,992
2016-06-21,Server 2003,17
2016-06-21,Vista,159
2016-06-21,XP,312
2016-06-22,10,2794
2016-06-22,7,6964
2016-06-22,8,115
2016-06-22,8.1,1018
2016-06-22,Server 2003,18
2016-06-22,Vista,155
2016-06-22,XP,382
2016-06-23,10,2916
2016-06-23,7,7720
2016-06-23,8,115
2016-06-23,8.1,1161
2016-06-23,Server 2003,18
2016-06-23,Vista,194
2016-06-23,XP,400
2016-06-24,10,2289
2016-06-24,7,6038
2016-06-24,8,103
2016-06-24,8.1,878
2016-06-24,Server 2003,23
2016-06-24,Vista,126
2016-06-24,XP,281
2016-06-25,10,1636
2016-06-25,7,1343
2016-06-25,8,45
2016-06-25,8.1,326
2016-06-25,Server 2003,7
2016-06-25,Vista,122
2016-06-25,XP,112
2016-06-26,10,1827
2016-06-26,7,1250
2016-06-26,8,65
2016-06-26,8.1,356
2016-06-26,Server 2003,5
2016-06-26,Vista,109
2016-06-26,XP,108
2016-06-27,10,2498
2016-06-27,2000,1
2016-06-27,7,6617
2016-06-27,8,81
2016-06-27,8.1,990
2016-06-27,Server 2003,15
2016-06-27,Vista,174
2016-06-27,XP,326
2016-06-28,10,2732
2016-06-28,7,6780
2016-06-28,8,95
2016-06-28,8.1,973
2016-06-28,Server 2003,20
2016-06-28,Vista,143
2016-06-28,XP,303
2016-06-29,10,2764
2016-06-29,7,7110
2016-06-29,8,118
2016-06-29,8.1,1053
2016-06-29,Server 2003,7
2016-06-29,Vista,162
2016-06-29,XP,346
2016-06-30,10,2761
2016-06-30,7,6920
2016-06-30,8,88
2016-06-30,8.1,988
2016-06-30,Server 2003,16
2016-06-30,Vista,169
2016-06-30,XP,359
2016-07-01,10,2455
2016-07-01,2000,1
2016-07-01,7,6219
2016-07-01,8,96
2016-07-01,8.1,907
2016-07-01,Server 2003,15
2016-07-01,Vista,183
2016-07-01,XP,310
2016-07-02,10,1620
2016-07-02,7,1364
2016-07-02,8,54
2016-07-02,8.1,367
2016-07-02,Server 2003,6
2016-07-02,Vista,106
2016-07-02,XP,115
2016-07-03,10,1915
2016-07-03,7,1272
2016-07-03,8,55
2016-07-03,8.1,426
2016-07-03,Server 2003,3
2016-07-03,Vista,133
2016-07-03,XP,101
2016-07-04,10,2559
2016-07-04,2000,1
2016-07-04,7,6359
2016-07-04,8,86
2016-07-04,8.1,982
2016-07-04,Server 2003,14
2016-07-04,Vista,175
2016-07-04,XP,298
2016-07-05,10,2508
2016-07-05,7,6477
2016-07-05,8,90
2016-07-05,8.1,921
2016-07-05,Server 2003,14
2016-07-05,Vista,154
2016-07-05,XP,324
2016-07-06,10,2299
2016-07-06,7,5975
2016-07-06,8,75
2016-07-06,8.1,910
2016-07-06,Server 2003,25
2016-07-06,Vista,124
2016-07-06,XP,297
2016-07-07,10,2365
2016-07-07,7,6278
2016-07-07,8,81
2016-07-07,8.1,955
2016-07-07,Server 2003,36
2016-07-07,Vista,140
2016-07-07,XP,304
2016-07-08,10,2214
2016-07-08,7,6075
2016-07-08,8,80
2016-07-08,8.1,877
2016-07-08,Server 2003,15
2016-07-08,Vista,150
2016-07-08,XP,298
2016-07-09,10,1698
2016-07-09,7,1351
2016-07-09,8,39
2016-07-09,8.1,382
2016-07-09,Server 2003,12
2016-07-09,Vista,110
2016-07-09,XP,128
2016-07-10,10,1934
2016-07-10,7,1304
2016-07-10,8,56
2016-07-10,8.1,436
2016-07-10,Server 2003,12
2016-07-10,Vista,122
2016-07-10,XP,142
2016-07-11,10,2699
2016-07-11,7,6454
2016-07-11,8,93
2016-07-11,8.1,988
2016-07-11,Server 2003,17
2016-07-11,Vista,172
2016-07-11,XP,346
2016-07-12,10,2484
2016-07-12,7,6344
2016-07-12,8,105
2016-07-12,8.1,875
2016-07-12,Server 2003,16
2016-07-12,Vista,158
2016-07-12,XP,284
2016-07-13,10,2411
2016-07-13,7,6350
2016-07-13,8,89
2016-07-13,8.1,892
2016-07-13,Server 2003,15
2016-07-13,Vista,135
2016-07-13,XP,334
2016-07-14,10,2220
2016-07-14,7,5761
2016-07-14,8,75
2016-07-14,8.1,930
2016-07-14,Server 2003,14
2016-07-14,Vista,158
2016-07-14,XP,254
2016-07-15,10,2084
2016-07-15,7,5352
2016-07-15,8,76
2016-07-15,8.1,740
2016-07-15,Server 2003,13
2016-07-15,Vista,125
2016-07-15,XP,261
2016-07-16,10,1456
2016-07-16,7,1201
2016-07-16,8,45
2016-07-16,8.1,331
2016-07-16,Server 2003,9
2016-07-16,Vista,77
2016-07-16,XP,107
2016-07-17,10,1709
2016-07-17,7,1144
2016-07-17,8,54
2016-07-17,8.1,376
2016-07-17,Server 2003,6
2016-07-17,Vista,83
2016-07-17,XP,101
2016-07-18,10,2887
2016-07-18,7,7321
2016-07-18,8,86
2016-07-18,8.1,1163
2016-07-18,Server 2003,12
2016-07-18,Vista,158
2016-07-18,XP,324
2016-07-19,10,3544
2016-07-19,7,8734
2016-07-19,8,94
2016-07-19,8.1,1283
2016-07-19,Server 2003,16
2016-07-19,Vista,193
2016-07-19,XP,460
2016-07-20,10,2750
2016-07-20,7,6407
2016-07-20,8,76
2016-07-20,8.1,935
2016-07-20,Server 2003,8
2016-07-20,Vista,155
2016-07-20,XP,304
2016-07-21,10,2458
2016-07-21,2000,1
2016-07-21,7,6142
2016-07-21,8,70
2016-07-21,8.1,862
2016-07-21,Server 2003,18
2016-07-21,Vista,182
2016-07-21,XP,278
2016-07-22,10,2258
2016-07-22,2000,1
2016-07-22,7,5276
2016-07-22,8,60
2016-07-22,8.1,769
2016-07-22,Server 2003,15
2016-07-22,Vista,127
2016-07-22,XP,231
2016-07-23,10,1625
2016-07-23,7,1280
2016-07-23,8,43
2016-07-23,8.1,351
2016-07-23,Server 2003,10
2016-07-23,Vista,76
2016-07-23,XP,114
2016-07-24,(not set),1
2016-07-24,10,1851
2016-07-24,7,1096
2016-07-24,8,56
2016-07-24,8.1,372
2016-07-24,Server 2003,5
2016-07-24,Vista,103
2016-07-24,XP,106
2016-07-25,10,2510
2016-07-25,7,5751
2016-07-25,8,91
2016-07-25,8.1,862
2016-07-25,Server 2003,14
2016-07-25,Vista,142
2016-07-25,XP,264
2016-07-26,10,2593
2016-07-26,7,5910
2016-07-26,8,75
2016-07-26,8.1,906
2016-07-26,NT,1
2016-07-26,Server 2003,14
2016-07-26,Vista,145
2016-07-26,XP,268
2016-07-27,10,2692
2016-07-27,7,6381
2016-07-27,8,90
2016-07-27,8.1,920
2016-07-27,Server 2003,6
2016-07-27,Vista,163
2016-07-27,XP,290
2016-07-28,10,2790
2016-07-28,7,6132
2016-07-28,8,75
2016-07-28,8.1,922
2016-07-28,Server 2003,14
2016-07-28,Vista,168
2016-07-28,XP,296
2016-07-29,10,2359
2016-07-29,7,5290
2016-07-29,8,66
2016-07-29,8.1,742
2016-07-29,Server 2003,18
2016-07-29,Vista,142
2016-07-29,XP,275
2016-07-30,10,1591
2016-07-30,7,1257
2016-07-30,8,57
2016-07-30,8.1,327
2016-07-30,Server 2003,4
2016-07-30,Vista,77
2016-07-30,XP,109
2016-07-31,10,1769
2016-07-31,7,1053
2016-07-31,8,48
2016-07-31,8.1,334
2016-07-31,Server 2003,3
2016-07-31,Vista,84
2016-07-31,XP,92
2016-08-01,10,2885
2016-08-01,7,6079
2016-08-01,8,81
2016-08-01,8.1,912
2016-08-01,Server 2003,6
2016-08-01,Vista,175
2016-08-01,XP,300
2016-08-02,10,3153
2016-08-02,7,6535
2016-08-02,8,80
2016-08-02,8.1,937
2016-08-02,Server 2003,15
2016-08-02,Vista,172
2016-08-02,XP,318
2016-08-03,10,2930
2016-08-03,7,6710
2016-08-03,8,85
2016-08-03,8.1,992
2016-08-03,Server 2003,17
2016-08-03,Vista,168
2016-08-03,XP,342
2016-08-04,10,2623
2016-08-04,7,5695
2016-08-04,8,78
2016-08-04,8.1,1178
2016-08-04,Server 2003,23
2016-08-04,Vista,153
2016-08-04,XP,328
2016-08-05,10,2151
2016-08-05,7,4952
2016-08-05,8,54
2016-08-05,8.1,830
2016-08-05,Server 2003,18
2016-08-05,Vista,122
2016-08-05,XP,255
2016-08-06,10,1596
2016-08-06,2000,3
2016-08-06,7,1212
2016-08-06,8,42
2016-08-06,8.1,337
2016-08-06,Server 2003,8
2016-08-06,Vista,74
2016-08-06,XP,134
2016-08-07,10,2214
2016-08-07,7,1347
2016-08-07,8,50
2016-08-07,8.1,439
2016-08-07,Server 2003,4
2016-08-07,Vista,124
2016-08-07,XP,139
2016-08-08,10,2362
2016-08-08,7,5752
2016-08-08,8,65
2016-08-08,8.1,859
2016-08-08,Server 2003,19
2016-08-08,Vista,131
2016-08-08,XP,283
2016-08-09,(not set),2
2016-08-09,10,1901
2016-08-09,7,4383
2016-08-09,8,51
2016-08-09,8.1,613
2016-08-09,Server 2003,13
2016-08-09,Vista,95
2016-08-09,XP,200
2016-08-10,10,2587
2016-08-10,7,5735
2016-08-10,8,54
2016-08-10,8.1,768
2016-08-10,Server 2003,7
2016-08-10,Vista,110
2016-08-10,XP,245
2016-08-11,10,2434
2016-08-11,7,5323
2016-08-11,8,68
2016-08-11,8.1,756
2016-08-11,Server 2003,12
2016-08-11,Vista,139
2016-08-11,XP,253
2016-08-12,10,2166
2016-08-12,7,5025
2016-08-12,8,63
2016-08-12,8.1,738
2016-08-12,Server 2003,15
2016-08-12,Vista,120
2016-08-12,XP,236
2016-08-13,10,1536
2016-08-13,2000,1
2016-08-13,7,1204
2016-08-13,8,45
2016-08-13,8.1,307
2016-08-13,Server 2003,8
2016-08-13,Vista,70
2016-08-13,XP,103
2016-08-14,10,1639
2016-08-14,7,956
2016-08-14,8,54
2016-08-14,8.1,335
2016-08-14,Server 2003,5
2016-08-14,Vista,73
2016-08-14,XP,99
2016-08-15,10,2705
2016-08-15,7,5993
2016-08-15,8,75
2016-08-15,8.1,880
2016-08-15,Server 2003,13
2016-08-15,Vista,121
2016-08-15,XP,275
2016-08-16,10,2671
2016-08-16,7,6458
2016-08-16,8,66
2016-08-16,8.1,897
2016-08-16,Server 2003,12
2016-08-16,Vista,157
2016-08-16,XP,270
2016-08-17,10,3133
2016-08-17,7,7010
2016-08-17,8,66
2016-08-17,8.1,934
2016-08-17,Server 2003,9
2016-08-17,Vista,158
2016-08-17,XP,299
2016-08-18,10,3081
2016-08-18,7,6511
2016-08-18,8,61
2016-08-18,8.1,925
2016-08-18,Server 2003,14
2016-08-18,Vista,139
2016-08-18,XP,299
